Name;Symbol
AKASTOR;AKAST
AKER BP;AKRBP
AKER CARBON CAPTUR;ACC
AKER SOLUTIONS;AKSO
ARCHER;ARCH
AWILCO DRILLING;AWDR
BORR DRILLING;BORR
BW ENERGY LIMITED;BWE
BW OFFSHORE LTD;BWO
CARBON TRANSITION;CARBN
DEEP VALUE DRILLER;DVD
DNO;DNO
DOF;DOF
DOLPHIN DRILLING;DDRIL
EIDESVIK OFFSHORE;EIOF
ELECTROMAGNET GEO;EMGS
EQUINOR;EQNR
GOLDEN ENERGY OFF;GEOS
HAVILA SHIPPING;HAVI
HUNTER GROUP;HUNT
INTEROIL EXPL PROD;IOX
NORAM DRILLING;NORAM
NORTH ENERGY;NORTH
NORTHERN DRILLING;NODL
NORTHERN OCEAN LTD;NOL
NORWEGIAN ENERGY;NOR
OCEANTEAM;OTS
ODFJELL DRILLING;ODL
ODFJELL TECHNOLOGY;OTL
OKEA;OKEA
PANORO ENERGY;PEN
PETROLIA;PSE
PETRONOR E&P;PNOR
PGS;PGS
PROSAFE;PRS
QUESTERRE ENERGY;QEC
REACH SUBSEA;REACH
S.D. STANDARD ETC;SDSD
SCANA;SCANA
SEABIRD EXPLORAT;SBX
SEADRILL;SDRL
SEAWAY 7;SEAW7
SHELF DRILLING;SHLF
SHELF DRILLING NO;SDNS
SIEM OFFSHORE;SIOFF
SOLSTAD OFFSHORE;SOFF
SUBSEA 7;SUBC
TGS;TGS
VÃ…R ENERGI;VAR
ZENITH ENERGY;ZENA
